id_espacial,anio,tipo,id,calle1,calle2,lon,lat
-99.14069_19.43592,2020,radar fijo,RVEF007,Eje 3 Sur José Peón,y Contreras y José María Bustillos,-99.1406917,19.4359178
-99.14069_19.43592,2021,radar fijo,RVEF007,Eje 3 Sur José Peón,y Contreras y José María Bustillos,-99.1406917,19.4359178
-99.14069_19.43592,2022,radar fijo,RVEF007,Eje 3 Sur José Peón Contreras Y,José María Bustillos,-99.1406917,19.4359178
-99.14115_19.40735,2019,radar fijo,VVEF005,Av. Ejército Nacional,y Calle Luis Vives,-99.1411463,19.4073524
-99.14115_19.40735,2020,radar fijo,VVEF005,Av. Ejército Nacional,y Calle Luis Vives,-99.1411463,19.4073524
-99.14115_19.40735,2021,radar fijo,VVEF005,Av. Ejército Nacional,y Calle Luis Vives,-99.1411463,19.4073524
-99.14115_19.40735,2022,radar fijo,VVEF005,Av. Ejército Nacional Y,Calle Luis Vives,-99.1411463,19.4073524
-99.14115_19.40735,2023,radar fijo,VVEF005,Av. Ejército Nacional Y,Calle Luis Vives,-99.1411463,19.4073524
-99.14187_19.42658,2019,radar fijo,JFCF022,Eje Central Lázaro Cárdenas,y Avenida Hidalgo,-99.141868,19.426584
-99.14187_19.42658,2020,radar fijo,JFCF022,Eje Central Lázaro Cárdenas,y Avenida Hidalgo,-99.141868,19.426584
-99.14187_19.42658,2021,radar fijo,JFCF022,Eje Central Lázaro Cárdenas,y Avenida Hidalgo,-99.141868,19.426584
-99.14187_19.42658,2022,radar fijo,JFCF022,Eje Central Lázaro Cárdenas Y,Avenida Hidalgo,-99.141868,19.426584
-99.14187_19.42658,2023,radar fijo,JFCF022,Eje Central Lázaro Cárdenas Y ,Avenida Hidalgo,-99.141868,19.426584
-99.1418_19.40727,2023,radar fijo,032-SSC-CUH-EV-124.254,Simón Bolivar,José María Bustillos,-99.1418025,19.4072699
-99.1418_19.40727,2024,radar fijo,032-SSC-CUH-EV-124.254,Simon Bolivar,Jose Maria Bustillos,-99.1418025,19.4072699
-99.14194_19.42648,2024,radar fijo,058-SSC-CUH-FC-119.206,Eje Central Lázaro Cárdenas,Cjón. Igualdad,-99.1419395,19.4264773
-99.1432_19.48667,2019,radar fijo,VVEF033,Calz. Ignacio Zaragoza,y Anselmo de la Portilla,-99.143201,19.486666
-99.1432_19.48667,2020,radar fijo,VVEF033,Calz. Ignacio Zaragoza,y Anselmo de la Portilla,-99.143201,19.486666
-99.1432_19.48667,2021,radar fijo,VVEF033,Calz. Ignacio Zaragoza,y Anselmo de la Portilla,-99.143201,19.486666
-99.1432_19.48667,2022,radar fijo,VVEF033,Av. Chapultepec Y,Guaymas,-99.143201,19.486666
-99.14331_19.30704,2023,radar fijo,007-SSC-COY-EV-124.54,Hidalgo ,Tlamanalco,-99.1433099,19.3070388
-99.14331_19.30704,2024,radar fijo,007-SSC-COY-EV-124.54,Hidalgo ,Tlamanalco,-99.1433099,19.3070388
-99.14339_19.48687,2023,radar fijo,033-SSC-GAM-EV-119.6,Boyaca,Salama,-99.1433887,19.4868701
-99.14339_19.48687,2024,radar fijo,033-SSC-GAM-EV-119.6,Boyaca,Salama,-99.1433887,19.4868701
-99.14407_19.44478,2019,radar fijo,VVEF008,Av. Oceanía,y Pablo R. Sidar,-99.1440693,19.4447801
-99.14407_19.44478,2020,radar fijo,VVEF008,Av. Oceanía,y Pablo R. Sidar,-99.1440693,19.4447801
-99.14407_19.44478,2021,radar fijo,VVEF008,Av. Oceanía,y Pablo R. Sidar,-99.1440693,19.4447801
-99.14407_19.44478,2022,radar fijo,VVEF008,Av. Oceanía Y,Pablo R. Sidar,-99.1440693,19.4447801
-99.14407_19.44478,2023,radar fijo,VVEF008,Av. Oceanía Y ,Pablo R. Sidar,-99.1440693,19.4447801
-99.14422_19.44478,2024,radar fijo,073-SSC-CUH-EV-143.198,Soto,7A C. De Zarco,-99.1442176,19.444778
-99.14453_19.35447,2019,radar fijo,RVEF018,Circuito Bicentenario Instituto Técnico Industrial,y Calle Eligio Ancona,-99.1445281,19.3544699
-99.14453_19.35447,2020,radar fijo,RVEF018,Circuito Bicentenario Instituto Técnico Industrial,y Calle Eligio Ancona,-99.1445281,19.3544699
-99.14453_19.35447,2021,radar fijo,RVEF018,Circuito Bicentenario Instituto Técnico Industrial,y Calle Eligio Ancona,-99.1445281,19.3544699
-99.14464_19.40712,2019,radar fijo,RVEF021,Av. Insurgentes Nte.,y Pte. 112,-99.144644,19.40712
-99.14464_19.40712,2020,radar fijo,RVEF021,Av. Insurgentes Nte.,y Pte. 112,-99.144644,19.40712
-99.14464_19.40712,2021,radar fijo,RVEF021,Av. Insurgentes Nte.,y Pte. 112,-99.144644,19.40712
