id_colonia,colonia,id_alcaldia,alcaldia,n_incidentes
07-266,CONSTITUCION DE 1917 I,7,IZTAPALAPA,3559
02-007,CENTRO DE AZCAPOTZALCO,2,AZCAPOTZALCO,3556
02-025,EL ROSARIO C (U HAB),2,AZCAPOTZALCO,3544
06-019,MILITAR MARTE,6,IZTACALCO,3541
14-063,NARVARTE IV,14,BENITO JUAREZ,3532
14-052,ALAMOS II,14,BENITO JUAREZ,3527
12-066,JARDINES DEL AJUSCO,12,TLALPAN,3526
17-078,JARDIN BALBUENA III,17,VENUSTIANO CARRANZA,3507
07-295,SANTA CRUZ MEYEHUALCO (U HAB) I,7,IZTAPALAPA,3502
14-017,INSURGENTES MIXCOAC,14,BENITO JUAREZ,3495
16-093,POPOTLA II,16,MIGUEL HIDALGO,3494
05-074,GUADALUPE TEPEYAC,5,GUSTAVO A. MADERO,3484
07-278,JUAN ESCUTIA II,7,IZTAPALAPA,3437
16-065,POLANCO REFORMA (POLANCO),16,MIGUEL HIDALGO,3435
15-032,TRANSITO,15,CUAUHTEMOC,3415
14-056,DEL VALLE IV,14,BENITO JUAREZ,3394
17-084,MORELOS II,17,VENUSTIANO CARRANZA,3393
15-049,DOCTORES V,15,CUAUHTEMOC,3388
14-005,AMERICAS UNIDAS-DEL LAGO,14,BENITO JUAREZ,3373
07-029,CHINAMPAS DE SANTA MA TOMATLAN,7,IZTAPALAPA,3355
15-053,GUERRERO IV,15,CUAUHTEMOC,3352
11-057,LA CONCHITA II,11,TLAHUAC,3336
17-055,ROMERO RUBIO,17,VENUSTIANO CARRANZA,3336
07-020,CACAMA,7,IZTAPALAPA,3329
10-163,OLIVAR DE LOS PADRES,10,ALVARO OBREGON,3326
04-015,EL CONTADERO,4,CUAJIMALPA DE MORELOS,3319
17-002,ADOLFO LOPEZ MATEOS,17,VENUSTIANO CARRANZA,3317
16-094,SAN MIGUEL CHAPULTEPEC I,16,MIGUEL HIDALGO,3311
03-130,AJUSCO III,3,COYOACAN,3310
15-066,PERALVILLO I,15,CUAUHTEMOC,3309
16-096,LOMAS DE CHAPULTEPEC II,16,MIGUEL HIDALGO,3309
06-057,PANTITLAN II,6,IZTACALCO,3296
07-298,SANTA MARIA AZTAHUACAN (EJ) II,7,IZTAPALAPA,3285
10-115,LAS AGUILAS (AMPL),10,ALVARO OBREGON,3283
14-036,PIEDAD NARVARTE,14,BENITO JUAREZ,3283
14-009,CIUDAD DE LOS DEPORTES,14,BENITO JUAREZ,3271
11-024,LOS OLIVOS,11,TLAHUAC,3268
15-063,OBRERA II,15,CUAUHTEMOC,3267
17-070,7 DE JULIO,17,VENUSTIANO CARRANZA,3254
14-054,DEL VALLE II,14,BENITO JUAREZ,3242
07-056,EL PRADO,7,IZTAPALAPA,3239
17-083,MORELOS I,17,VENUSTIANO CARRANZA,3235
17-023,EL PARQUE,17,VENUSTIANO CARRANZA,3228
02-008,CLAVERIA,2,AZCAPOTZALCO,3224
03-129,AJUSCO II,3,COYOACAN,3194
15-074,SAN RAFAEL II,15,CUAUHTEMOC,3193
07-041,DR ALFONSO ORTIZ TIRADO,7,IZTAPALAPA,3186
17-027,FELIPE ANGELES,17,VENUSTIANO CARRANZA,3184
06-056,PANTITLAN I,6,IZTACALCO,3157
17-061,VALLE GOMEZ,17,VENUSTIANO CARRANZA,3155
15-001,ALGARIN,15,CUAUHTEMOC,3142
07-083,GRANJAS ESTRELLA I,7,IZTAPALAPA,3139
16-063,PERIODISTA,16,MIGUEL HIDALGO,3128
03-021,CIUDAD UNIVERSITARIA,3,COYOACAN,3125
03-128,AJUSCO I,3,COYOACAN,3120
11-025,MIGUEL HIDALGO,11,TLAHUAC,3109
15-029,SANTA MARIA INSURGENTES,15,CUAUHTEMOC,3109
05-199,VILLA GUSTAVO A MADERO,5,GUSTAVO A. MADERO,3094
13-057,SAN PEDRO (BARR),13,XOCHIMILCO,3077
17-075,IGNACIO ZARAGOZA II,17,VENUSTIANO CARRANZA,3032
14-068,PORTALES III,14,BENITO JUAREZ,3020
04-032,LOMAS DE VISTA HERMOSA,4,CUAJIMALPA DE MORELOS,3016
03-059,INSURGENTES CUICUILCO,3,COYOACAN,3001
11-042,SANTIAGO ZAPOTITLAN (PBLO),11,TLAHUAC,2989
03-062,JARDINES DEL PEDREGAL,3,COYOACAN,2977
05-129,NUEVA INDUSTRIAL VALLEJO (FRACC),5,GUSTAVO A. MADERO,2973
10-156,MINAS DE CRISTO,10,ALVARO OBREGON,2965
09-012,VILLA MILPA ALTA (PBLO),9,MILPA ALTA,2964
07-267,CONSTITUCION DE 1917 II,7,IZTAPALAPA,2950
03-075,LOS GIRASOLES III,3,COYOACAN,2944
15-052,GUERRERO III,15,CUAUHTEMOC,2935
05-159,SAN JUAN DE ARAGON 3A SECCION (U HAB) I,5,GUSTAVO A. MADERO,2927
06-043,AGRICOLA ORIENTAL IV,6,IZTACALCO,2927
14-044,SAN SIMON TICUMAC,14,BENITO JUAREZ,2915
05-055,ESTRELLA,5,GUSTAVO A. MADERO,2914
14-066,PORTALES I,14,BENITO JUAREZ,2888
16-032,GRANADA (AMPL),16,MIGUEL HIDALGO,2886
17-034,KENNEDY (U HAB),17,VENUSTIANO CARRANZA,2859
05-242,SAN JUAN DE ARAGON 1A SECCION (U HAB) II,5,GUSTAVO A. MADERO,2844
07-292,SAN MIGUEL TEOTONGO II,7,IZTAPALAPA,2842
13-065,SANTA MARIA TEPEPAN (PBLO),13,XOCHIMILCO,2832
10-170,PASEO DE LAS LOMAS-SAN GABRIEL,10,ALVARO OBREGON,2816
16-046,LOMAS VIRREYES (LOMAS DE CHAPULTEPEC),16,MIGUEL HIDALGO,2807
03-113,VIEJO EJIDO SANTA URSULA COAPA,3,COYOACAN,2797
17-081,MOCTEZUMA 2A SECCION III,17,VENUSTIANO CARRANZA,2797
07-290,SAN JUAN XALPA II,7,IZTAPALAPA,2782
13-060,SANTA CRUZ ACALPIXCA (PBLO),13,XOCHIMILCO,2781
13-064,SANTA MARIA NATIVITAS (PBLO),13,XOCHIMILCO,2767
17-064,VIADUCTO - BALBUENA (CONJ HAB),17,VENUSTIANO CARRANZA,2765
12-008,ARENAL GUADALUPE TLALPAN,12,TLALPAN,2762
05-238,SAN FELIPE DE JESUS II,5,GUSTAVO A. MADERO,2751
14-031,NIÑOS HEROES DE CHAPULTEPEC,14,BENITO JUAREZ,2715
12-020,CHIMALCOYOC,12,TLALPAN,2676
07-308,2A AMPLIACION SANTIAGO ACAHUALTEPEC I,7,IZTAPALAPA,2675
06-061,RAMOS MILLAN BRAMADERO I,6,IZTACALCO,2674
16-001,AGRICULTURA,16,MIGUEL HIDALGO,2670
13-055,SAN MARCOS (BARR),13,XOCHIMILCO,2668
05-231,NUEVA ATZACOALCO III,5,GUSTAVO A. MADERO,2661
07-275,JOSE LOPEZ PORTILLO I,7,IZTAPALAPA,2642
07-313,JUAN ESCUTIA III,7,IZTAPALAPA,2632
14-016,INDEPENDENCIA,14,BENITO JUAREZ,2615
17-085,PENSADOR MEXICANO I,17,VENUSTIANO CARRANZA,2614
04-006,BOSQUES DE LAS LOMAS,4,CUAJIMALPA DE MORELOS,2611
17-082,MOCTEZUMA 2A SECCION IV,17,VENUSTIANO CARRANZA,2610
17-007,AVIACION CIVIL,17,VENUSTIANO CARRANZA,2607
05-076,GUADALUPE VICTORIA II,5,GUSTAVO A. MADERO,2605
15-054,HIPODROMO I,15,CUAUHTEMOC,2578
14-021,LETRAN VALLE,14,BENITO JUAREZ,2569
05-107,LA PATERA-CONDOMODULOS (U HAB),5,GUSTAVO A. MADERO,2564
15-048,DOCTORES IV,15,CUAUHTEMOC,2563
05-171,SANTA ROSA,5,GUSTAVO A. MADERO,2553
06-042,AGRICOLA ORIENTAL III,6,IZTACALCO,2537
10-157,MOLINO DE ROSAS,10,ALVARO OBREGON,2533
13-037,SAN BARTOLO EL CHICO,13,XOCHIMILCO,2529
12-114,PARQUES DEL PEDREGAL,12,TLALPAN,2521
14-062,NARVARTE III,14,BENITO JUAREZ,2519
05-174,SANTIAGO ATZACOALCO (PBLO),5,GUSTAVO A. MADERO,2513
10-197,SAN PEDRO DE LOS PINOS,10,ALVARO OBREGON,2511
15-037,CENTRO I,15,CUAUHTEMOC,2505
17-005,AQUILES SERDAN,17,VENUSTIANO CARRANZA,2501
07-049,EJTO DE OTE II (U HAB),7,IZTAPALAPA,2490
12-148,SAN BARTOLO EL CHICO,12,TLALPAN,2481
03-030,CTM VI CULHUACAN (U HAB),3,COYOACAN,2472
07-125,LOMAS DE ZARAGOZA,7,IZTAPALAPA,2466
14-013,ERMITA,14,BENITO JUAREZ,2455
15-046,DOCTORES II,15,CUAUHTEMOC,2451
14-060,NARVARTE I,14,BENITO JUAREZ,2447
16-021,CHAPULTEPEC MORALES (POLANCO),16,MIGUEL HIDALGO,2444
12-175,TLALCOLIGIA,12,TLALPAN,2426
03-072,LOS CIPRESES,3,COYOACAN,2425
06-045,AGRICOLA ORIENTAL VI,6,IZTACALCO,2423
12-154,SAN MIGUEL XICALCO (PBLO),12,TLALPAN,2423
03-009,BOSQUES DE TETLAMEYA,3,COYOACAN,2422
05-212,7 DE NOVIEMBRE,5,GUSTAVO A. MADERO,2420
14-047,VERTIZ NARVARTE,14,BENITO JUAREZ,2409
14-059,DEL VALLE VII,14,BENITO JUAREZ,2400
03-041,EL CARACOL,3,COYOACAN,2395
15-051,GUERRERO II,15,CUAUHTEMOC,2386
07-059,EL ROSARIO,7,IZTAPALAPA,2376
07-165,PROGRESO DEL SUR,7,IZTAPALAPA,2372
03-085,PARQUE SAN ANDRES,3,COYOACAN,2371
07-145,MODELO (U),7,IZTAPALAPA,2370
14-069,PORTALES IV,14,BENITO JUAREZ,2353
07-300,STA MARTHA ACATITLA NTE (AMPL) II,7,IZTAPALAPA,2345
05-151,SAN BARTOLO ATEPEHUACAN (PBLO),5,GUSTAVO A. MADERO,2344
06-059,PANTITLAN IV,6,IZTACALCO,2340
14-061,NARVARTE II,14,BENITO JUAREZ,2339
07-128,LOMAS ESTRELLA 1A SECC (FRACC),7,IZTAPALAPA,2327
05-233,PROGRESO NACIONAL II,5,GUSTAVO A. MADERO,2319
07-071,ESCUADRON 201,7,IZTAPALAPA,2318
10-194,SAN BARTOLO AMEYALCO (PBLO),10,ALVARO OBREGON,2316
07-175,SAN ANDRES TETEPILCO (PBLO),7,IZTAPALAPA,2305
12-209,HEROES DE PADIERNA I,12,TLALPAN,2304
11-004,DEL MAR SUR,11,TLAHUAC,2292
07-135,LOS REYES (PBLO),7,IZTAPALAPA,2291
10-031,BELLA VISTA,10,ALVARO OBREGON,2290
03-046,EL ROSEDAL I,3,COYOACAN,2287
17-036,MAGDALENA MIXHUCA,17,VENUSTIANO CARRANZA,2281
12-194,VILLA LAZARO CARDENAS,12,TLALPAN,2256
05-071,GUADALUPE INSURGENTES,5,GUSTAVO A. MADERO,2240
14-015,GENERAL PEDRO MARIA ANAYA,14,BENITO JUAREZ,2237
07-062,EL SIFON,7,IZTAPALAPA,2215
12-109,NUEVA ORIENTAL COAPA-EX HACIENDA COAPA,12,TLALPAN,2214
04-025,LA VENTA,4,CUAJIMALPA DE MORELOS,2210
05-035,CUCHILLA DEL TESORO,5,GUSTAVO A. MADERO,2207
06-008,EL RODEO,6,IZTACALCO,2186
02-056,PASTEROS,2,AZCAPOTZALCO,2181
14-057,DEL VALLE V,14,BENITO JUAREZ,2181
02-104,TLATILCO,2,AZCAPOTZALCO,2179
17-037,MAGDALENA MIXHUCA (PBLO),17,VENUSTIANO CARRANZA,2177
05-093,LA CANDELARIA TICOMAN (BARR),5,GUSTAVO A. MADERO,2158
07-256,8A DE SAN MIGUEL (AMPL),7,IZTAPALAPA,2142
03-020,CIUDAD JARDIN,3,COYOACAN,2137
05-250,VALLEJO II,5,GUSTAVO A. MADERO,2132
03-109,SANTA URSULA COAPA (PBLO),3,COYOACAN,2127
15-075,SANTA MARIA LA RIBERA I,15,CUAUHTEMOC,2114
07-195,SAN LUCAS (BARR),7,IZTAPALAPA,2108
06-004,CARLOS ZAPATA VELA,6,IZTACALCO,2106
03-031,CTM VII CULHUACAN (U HAB),3,COYOACAN,2104
07-037,CULHUACAN (PBLO),7,IZTAPALAPA,2101
13-050,SAN LORENZO ATEMOAYA (PBLO),13,XOCHIMILCO,2099
15-076,SANTA MARIA LA RIBERA II,15,CUAUHTEMOC,2098
14-010,CREDITO CONSTRUCTOR,14,BENITO JUAREZ,2090
05-218,CASAS ALEMAN (AMPL) II,5,GUSTAVO A. MADERO,2083
07-270,DESARROLLO URBANO QUETZALCOATL III,7,IZTAPALAPA,2077
05-239,SAN FELIPE DE JESUS III,5,GUSTAVO A. MADERO,2075
10-092,JOSE MARIA PINO SUAREZ,10,ALVARO OBREGON,2065
12-095,MIGUEL HIDALGO,12,TLALPAN,2063
06-052,INFONAVIT IZTACALCO (U HAB) I,6,IZTACALCO,2060
03-010,CAFETALES I (RDCIAL),3,COYOACAN,2057
07-007,AÑO DE JUAREZ,7,IZTAPALAPA,2041
16-045,LOMAS DE SOTELO,16,MIGUEL HIDALGO,2037
14-067,PORTALES II,14,BENITO JUAREZ,2030
02-005,ANGEL ZIMBRON,2,AZCAPOTZALCO,2019
06-032,SANTA ANITA,6,IZTACALCO,2017
15-064,OBRERA III,15,CUAUHTEMOC,2008
15-016,HIPODROMO CONDESA,15,CUAUHTEMOC,2006
15-035,BUENAVISTA I,15,CUAUHTEMOC,2003
14-030,NATIVITAS,14,BENITO JUAREZ,2001
08-016,INDEPENDENCIA BATAN SUR (U HAB),8,LA MAGDALENA CONTRERAS,2000
03-007,ATLANTIDA,3,COYOACAN,1994
14-065,NARVARTE VI,14,BENITO JUAREZ,1990
07-119,LEYES DE REFORMA 1A SECCION,7,IZTAPALAPA,1987
17-072,CENTRO I,17,VENUSTIANO CARRANZA,1987
07-176,SAN ANDRES TOMATLAN (PBLO),7,IZTAPALAPA,1983
15-047,DOCTORES III,15,CUAUHTEMOC,1978
06-044,AGRICOLA ORIENTAL V,6,IZTACALCO,1974
15-022,PAULINO NAVARRO,15,CUAUHTEMOC,1967
09-002,SAN ANTONIO TECOMITL (PBLO),9,MILPA ALTA,1966
07-306,XALPA II,7,IZTAPALAPA,1964
05-111,LA PURISIMA TICOMAN (BARR),5,GUSTAVO A. MADERO,1963
07-299,STA MARTHA ACATITLA NTE (AMPL) I,7,IZTAPALAPA,1963
10-042,CHIMALISTAC,10,ALVARO OBREGON,1957
14-058,DEL VALLE VI,14,BENITO JUAREZ,1946
02-113,PRO HOGAR I,2,AZCAPOTZALCO,1942
11-055,UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I,11,TLAHUAC,1942
02-021,EL JAGUEY-ESTACION PANTACO,2,AZCAPOTZALCO,1941
12-067,JARDINES EN LA MONTAÑA,12,TLALPAN,1939
07-302,TEPALCATES II,7,IZTAPALAPA,1933
17-080,MOCTEZUMA 2A SECCION II,17,VENUSTIANO CARRANZA,1933
12-050,GRANJAS COAPA,12,TLALPAN,1926
02-100,SECTOR NAVAL,2,AZCAPOTZALCO,1925
05-243,SAN JUAN DE ARAGON 2A SECCION (U HAB) I,5,GUSTAVO A. MADERO,1925
15-002,ASTURIAS,15,CUAUHTEMOC,1921
03-029,CTM V CULHUACAN (U HAB),3,COYOACAN,1916
15-039,CENTRO III,15,CUAUHTEMOC,1914
03-140,PEDREGAL DE STO DOMINGO II,3,COYOACAN,1911
13-033,POTRERO DE SAN BERNARDINO,13,XOCHIMILCO,1911
12-003,AMPLIACION MIGUEL HIDALGO 3A SECC,12,TLALPAN,1910
07-162,PRESIDENTES DE MEXICO,7,IZTAPALAPA,1906
05-156,SAN JUAN DE ARAGON (PBLO),5,GUSTAVO A. MADERO,1902
14-046,TLACOQUEMECATL DEL VALLE,14,BENITO JUAREZ,1902
06-047,AGRICOLA ORIENTAL VIII,6,IZTACALCO,1901
17-030,INDUSTRIAL PUERTO AEREO (FRACC),17,VENUSTIANO CARRANZA,1901
13-052,SAN LUCAS XOCHIMANCA (PBLO),13,XOCHIMILCO,1897
16-081,TORRE BLANCA,16,MIGUEL HIDALGO,1892
05-068,GERTRUDIS SANCHEZ 3A SECCION,5,GUSTAVO A. MADERO,1876
02-052,NUEVA SANTA MARIA,2,AZCAPOTZALCO,1864
16-088,ANAHUAC I,16,MIGUEL HIDALGO,1845
05-247,SAN JUAN DE ARAGON 7 SECC (U HAB) I,5,GUSTAVO A. MADERO,1842
05-179,TABLAS DE SAN AGUSTIN,5,GUSTAVO A. MADERO,1833
15-006,BUENOS AIRES,15,CUAUHTEMOC,1829
15-057,MORELOS II,15,CUAUHTEMOC,1827
15-034,VISTA ALEGRE,15,CUAUHTEMOC,1819
17-058,SIMON BOLIVAR,17,VENUSTIANO CARRANZA,1814
16-009,ANAHUAC LOS MANZANOS,16,MIGUEL HIDALGO,1811
07-200,SAN PABLO (BARR),7,IZTAPALAPA,1808
13-003,BARRIO 18,13,XOCHIMILCO,1807
03-034,CTM X CULHUACAN (U HAB),3,COYOACAN,1796
03-100,SAN DIEGO CHURUBUSCO,3,COYOACAN,1793
05-245,SAN JUAN DE ARAGON 4A Y 5A SECCION (U HAB) I,5,GUSTAVO A. MADERO,1793
07-066,EL VERGEL,7,IZTAPALAPA,1792
16-092,POPOTLA I,16,MIGUEL HIDALGO,1790
03-139,PEDREGAL DE STO DOMINGO I,3,COYOACAN,1789
17-066,20 DE NOVIEMBRE,17,VENUSTIANO CARRANZA,1787
02-079,SAN JUAN TLIHUACA (PBLO),2,AZCAPOTZALCO,1781
16-028,DEPORTIVA PENSIL,16,MIGUEL HIDALGO,1778
03-025,COUNTRY CLUB,3,COYOACAN,1776
05-104,LA LAGUNA TICOMAN (BARR),5,GUSTAVO A. MADERO,1772
10-084,GUADALUPE INN,10,ALVARO OBREGON,1765
03-050,ESPARTACO,3,COYOACAN,1764
17-035,LORENZO BOTURINI,17,VENUSTIANO CARRANZA,1761
07-177,SAN ANTONIO (BARR),7,IZTAPALAPA,1760
14-027,MODERNA,14,BENITO JUAREZ,1758
10-044,COLINAS DEL SUR,10,ALVARO OBREGON,1749
15-011,ESPERANZA,15,CUAUHTEMOC,1743
05-241,SAN JUAN DE ARAGON 1A SECCION (U HAB) I,5,GUSTAVO A. MADERO,1739
16-022,CHAPULTEPEC POLANCO (POLANCO),16,MIGUEL HIDALGO,1735
06-031,SAN PEDRO IZTACALCO (BARR),6,IZTACALCO,1733
02-054,OBRERO POPULAR,2,AZCAPOTZALCO,1731
14-002,ACTIPAN,14,BENITO JUAREZ,1731
10-145,LORETO,10,ALVARO OBREGON,1721
02-041,LA RAZA,2,AZCAPOTZALCO,1712
13-076,SAN LORENZO LA CEBADA II,13,XOCHIMILCO,1692
16-058,OBSERVATORIO,16,MIGUEL HIDALGO,1688
15-058,MORELOS III,15,CUAUHTEMOC,1684
03-052,HACIENDAS DE COYOACAN (FRACC),3,COYOACAN,1683
07-261,CERRO DE LA ESTRELLA II,7,IZTAPALAPA,1681
12-009,ARENAL PUERTA TEPEPAN,12,TLALPAN,1651
08-032,LOMAS QUEBRADAS,8,LA MAGDALENA CONTRERAS,1649
10-029,BELEN DE LAS FLORES,10,ALVARO OBREGON,1648
02-095,SANTA LUCIA (BARR),2,AZCAPOTZALCO,1637
10-193,SAN ANGEL INN,10,ALVARO OBREGON,1637
04-046,SAN MATEO TLALTENANGO (PBLO),4,CUAJIMALPA DE MORELOS,1636
08-042,SAN BERNABE OCOTEPEC (PBLO),8,LA MAGDALENA CONTRERAS,1634
15-013,FELIPE PESCADOR,15,CUAUHTEMOC,1634
12-210,HEROES DE PADIERNA II,12,TLALPAN,1629
07-082,GRANJAS ESMERALDA,7,IZTAPALAPA,1628
14-006,NAPOLES (AMPL),14,BENITO JUAREZ,1626
05-113,LINDAVISTA VALLEJO (U HAB),5,GUSTAVO A. MADERO,1624
05-141,PROGRESO NACIONAL (AMPL),5,GUSTAVO A. MADERO,1624
07-137,MAGDALENA ATLAZOLPA (PBLO),7,IZTAPALAPA,1623
12-161,SANTA URSULA XITLA,12,TLALPAN,1621
11-056,LA CONCHITA I,11,TLAHUAC,1619
12-117,PEDREGAL DE SN NICOLAS 1A SECC,12,TLALPAN,1614
07-247,VICENTE GUERRERO SUPER MANZANA 6 (U HAB),7,IZTAPALAPA,1608
16-039,LOMAS ALTAS,16,MIGUEL HIDALGO,1606
09-009,SAN PEDRO ATOCPAN (PBLO),9,MILPA ALTA,1604
07-286,LOMAS ESTRELLA 2A SECC II,7,IZTAPALAPA,1601
07-188,SAN JUANICO NEXTIPAC (PBLO),7,IZTAPALAPA,1596
10-009,ALFONSO XIII,10,ALVARO OBREGON,1595
05-228,MARTIN CARRERA II,5,GUSTAVO A. MADERO,1586
13-058,SANTA CECILIA TEPETLAPA (PBLO),13,XOCHIMILCO,1586
07-226,STA ISABEL INDUSTRIAL,7,IZTAPALAPA,1585
17-025,EMILIO CARRANZA,17,VENUSTIANO CARRANZA,1584
07-046,"EJTO CONSTITUCIONALISTA, SUPERMANZANA I ( U HAB)",7,IZTAPALAPA,1582
10-228,TORRES DE POTRERO,10,ALVARO OBREGON,1580
07-314,LAS PEÑAS II,7,IZTAPALAPA,1579
05-149,SALVADOR DIAZ MIRON,5,GUSTAVO A. MADERO,1575
15-043,CENTRO VII,15,CUAUHTEMOC,1571
03-105,SAN PABLO TEPETLAPA (PBLO),3,COYOACAN,1569
05-167,SAN PEDRO EL CHICO,5,GUSTAVO A. MADERO,1568
02-096,SANTA MARIA MALINALCO (PBLO),2,AZCAPOTZALCO,1566
15-003,ASTURIAS (AMPL),15,CUAUHTEMOC,1557
13-007,CALTONGO (BARR),13,XOCHIMILCO,1549
05-018,CAPULTITLAN,5,GUSTAVO A. MADERO,1548
07-166,PUENTE BLANCO,7,IZTAPALAPA,1547
05-114,LOMA DE LA PALMA,5,GUSTAVO A. MADERO,1537
07-096,IXTLAHUACAN,7,IZTAPALAPA,1537
14-042,SAN JUAN,14,BENITO JUAREZ,1535
05-072,GUADALUPE PROLETARIA,5,GUSTAVO A. MADERO,1534
15-038,CENTRO II,15,CUAUHTEMOC,1527
04-038,PALO ALTO (GRANJAS),4,CUAJIMALPA DE MORELOS,1524
07-087,GUADALUPE (BARR),7,IZTAPALAPA,1521
07-269,DESARROLLO URBANO QUETZALCOATL II,7,IZTAPALAPA,1521
11-041,SANTA CECILIA,11,TLAHUAC,1517
10-252,OLIVAR DEL CONDE 1RA SECCION I,10,ALVARO OBREGON,1506
10-132,LOMAS DE LA ERA,10,ALVARO OBREGON,1501
07-131,LOS ANGELES APANOAYA,7,IZTAPALAPA,1499
14-023,MERCED GOMEZ,14,BENITO JUAREZ,1495
07-009,APATLACO,7,IZTAPALAPA,1493
05-229,NUEVA ATZACOALCO I,5,GUSTAVO A. MADERO,1488
17-050,POPULAR RASTRO,17,VENUSTIANO CARRANZA,1488
04-011,CRUZ BLANCA,4,CUAJIMALPA DE MORELOS,1485
12-107,NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 7 (U HAB),12,TLALPAN,1480
14-001,ACACIAS,14,BENITO JUAREZ,1475
02-098,SANTO DOMINGO (PBLO),2,AZCAPOTZALCO,1467
07-042,EJERCITO DE AGUA PRIETA,7,IZTAPALAPA,1466
15-056,MORELOS I,15,CUAUHTEMOC,1462
07-097,JACARANDAS,7,IZTAPALAPA,1460
07-069,EMILIANO ZAPATA (AMPL),7,IZTAPALAPA,1459
02-006,ARENAL,2,AZCAPOTZALCO,1458
05-125,MARTIRES DE RIO BLANCO (AMPL),5,GUSTAVO A. MADERO,1456
12-211,LOMAS DE PADIERNA I,12,TLALPAN,1453
16-019,BOSQUES DE LAS LOMAS,16,MIGUEL HIDALGO,1442
10-049,COVE,10,ALVARO OBREGON,1441
04-023,LA PILA,4,CUAJIMALPA DE MORELOS,1439
07-262,CHINAMPAC DE JUAREZ I,7,IZTAPALAPA,1438
05-102,LA JOYA,5,GUSTAVO A. MADERO,1424
10-204,SANTA ROSA XOCHIAC (PBLO),10,ALVARO OBREGON,1423
12-215,BELISARIO DOMINGUEZ,12,TLALPAN,1422
17-016,CUCHILLA PANTITLAN,17,VENUSTIANO CARRANZA,1419
15-073,SAN RAFAEL I,15,CUAUHTEMOC,1418
10-105,LA MARTINICA,10,ALVARO OBREGON,1417
05-217,CASAS ALEMAN (AMPL) I,5,GUSTAVO A. MADERO,1413
10-021,ATLAMAYA,10,ALVARO OBREGON,1405
07-178,SAN ANTONIO CULHUACAN (BARR),7,IZTAPALAPA,1401
02-114,PRO HOGAR II,2,AZCAPOTZALCO,1396
05-006,ARAGON LA VILLA (ARAGON),5,GUSTAVO A. MADERO,1396
05-256,SAN JUAN DE ARAGON 6A SECCION (U HAB) II,5,GUSTAVO A. MADERO,1395
12-119,PEDREGAL DE SN NICOLAS 3A SECC,12,TLALPAN,1394
13-075,SAN LORENZO LA CEBADA I,13,XOCHIMILCO,1391
02-066,PROVIDENCIA,2,AZCAPOTZALCO,1390
03-094,PRADO CHURUBUSCO,3,COYOACAN,1390
05-195,VALLEJO PONIENTE,5,GUSTAVO A. MADERO,1390
02-090,SANTA BARBARA (PBLO),2,AZCAPOTZALCO,1387
07-301,TEPALCATES I,7,IZTAPALAPA,1386
16-070,REFORMA SOCIAL,16,MIGUEL HIDALGO,1385
02-032,HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,2,AZCAPOTZALCO,1379
03-069,LAS CAMPANAS,3,COYOACAN,1379
07-288,REFORMA POLITICA II,7,IZTAPALAPA,1379
08-005,CUAUHTEMOC,8,LA MAGDALENA CONTRERAS,1369
11-007,EL TRIANGULO,11,TLAHUAC,1363
17-079,MOCTEZUMA 2A SECCION I,17,VENUSTIANO CARRANZA,1363
06-018,LOS REYES (BARR),6,IZTACALCO,1356
10-033,BOSQUES DE TARANGO,10,ALVARO OBREGON,1354
11-044,SELENE 1A SECC,11,TLAHUAC,1353
16-041,LOMAS DE BEZARES,16,MIGUEL HIDALGO,1350
13-053,SAN LUIS TLAXIALTEMALCO (PBLO),13,XOCHIMILCO,1344
13-021,LA CONCHA,13,XOCHIMILCO,1341
15-050,GUERRERO I,15,CUAUHTEMOC,1336
06-028,REFORMA IZTACCIHUATL SUR,6,IZTACALCO,1333
07-112,LA NUEVA ROSITA,7,IZTAPALAPA,1332
07-186,SAN JUAN JOYA (PJE),7,IZTAPALAPA,1330
12-118,PEDREGAL DE SN NICOLAS 2A SECC,12,TLALPAN,1327
03-101,SAN FRANCISCO CULHUACAN (PBLO),3,COYOACAN,1325
03-137,PEDREGAL DE SANTA URSULA III,3,COYOACAN,1325
12-002,AMPLIACION MIGUEL HIDALGO 2A SECC,12,TLALPAN,1323
02-018,DEL RECREO,2,AZCAPOTZALCO,1320
13-056,SAN MATEO XALPA (PBLO),13,XOCHIMILCO,1320
07-202,SAN PEDRO (BARR),7,IZTAPALAPA,1319
05-240,SAN FELIPE DE JESUS IV,5,GUSTAVO A. MADERO,1317
03-088,PEDREGAL DE SAN ANGEL (AMPL),3,COYOACAN,1305
10-047,CORPUS CHRISTY,10,ALVARO OBREGON,1305
13-066,SANTIAGO TEPALCATLALPAN (PBLO),13,XOCHIMILCO,1305
02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO,1301
12-060,ISIDRO FABELA I (PONIENTE),12,TLALPAN,1301
05-230,NUEVA ATZACOALCO II,5,GUSTAVO A. MADERO,1297
11-045,SELENE 2DA SECC,11,TLAHUAC,1292
10-114,LAS AGUILAS,10,ALVARO OBREGON,1289
03-147,PEDREGAL DE STO DOMINGO IX,3,COYOACAN,1284
05-013,BONDOJITO,5,GUSTAVO A. MADERO,1283
