id_colonia,colonia,id_alcaldia,alcaldia,n_incidentes
17-059,TRES MOSQUETEROS,17,VENUSTIANO CARRANZA,31
03-058,INFONAVIT CULHUACAN ZONA 3 (U HAB),3,COYOACAN,30
05-144,QUETZALCOATL 3,5,GUSTAVO A. MADERO,30
07-019,CABEZA DE JUAREZ III (U HAB),7,IZTAPALAPA,30
08-018,INFONAVIT (U HAB),8,LA MAGDALENA CONTRERAS,30
10-167,PALMAS AXOTITLA,10,ALVARO OBREGON,30
10-196,SAN GABRIEL,10,ALVARO OBREGON,30
04-014,EBANO (U HAB),4,CUAJIMALPA DE MORELOS,28
07-090,GUELATAO DE JUAREZ II (U HAB),7,IZTAPALAPA,28
07-127,LOMAS ESTRELLA III (U HAB),7,IZTAPALAPA,28
11-060,CUITLAHUAC,11,TLAHUAC,28
16-034,IGNACIO MANUEL ALTAMIRANO,16,MIGUEL HIDALGO,28
05-139,PRADOS DE CUAUTEPEC,5,GUSTAVO A. MADERO,27
07-013,BARRANCAS DE GUADALUPE,7,IZTAPALAPA,27
07-232,TLALTENCO (U HAB),7,IZTAPALAPA,27
10-015,ARBOLEDAS POLITOCO,10,ALVARO OBREGON,27
12-221,LOMA BONITA-AMPLIACION TEPEXIMILPA,12,TLALPAN,27
13-041,SAN FRANCISCO CHIQUIMOLA,13,XOCHIMILCO,27
05-213,VILLA DE ARAGON,5,GUSTAVO A. MADERO,26
10-212,TEPOPOTLA,10,ALVARO OBREGON,26
12-011,"AYOCATITLA, ASUNCIÓN",12,TLALPAN,26
05-117,LOS OLIVOS (U HAB),5,GUSTAVO A. MADERO,25
05-136,PEMEX LINDAVISTA (U HAB),5,GUSTAVO A. MADERO,25
10-107,LA MILAGROSA,10,ALVARO OBREGON,25
12-044,UNIDADES HABITACIONALES DE TENORIOS,12,TLALPAN,25
13-034,RINCONADA DEL SUR (U HAB),13,XOCHIMILCO,25
02-105,TLATILCO (U HAB),2,AZCAPOTZALCO,24
08-040,PUENTE SIERRA,8,LA MAGDALENA CONTRERAS,24
10-147,LOS GAMITOS,10,ALVARO OBREGON,24
12-088,LOS PASTORES,12,TLALPAN,24
07-067,EL VERGEL TRIANGULO DE LAS AGUJAS I (U HAB),7,IZTAPALAPA,23
07-140,MINAS POLVORILLA (U HAB),7,IZTAPALAPA,23
10-240,ZOTOLTITLA,10,ALVARO OBREGON,23
04-027,TEXCALCO,4,CUAJIMALPA DE MORELOS,22
10-249,BELEN DE LAS FLORES_,10,ALVARO OBREGON,22
11-018,LA MESA,11,TLAHUAC,22
11-047,TEOZOMA,11,TLAHUAC,22
10-258,RESIDENCIAL MARIA ISABEL,10,ALVARO OBREGON,21
12-068,JUVENTUD UNIDA,12,TLALPAN,21
07-101,JOSE MA MORELOS Y PAVON (U HAB),7,IZTAPALAPA,20
10-067,EL RODEO,10,ALVARO OBREGON,20
10-111,LA PRESA,10,ALVARO OBREGON,20
12-037,EL DIVISADERO,12,TLALPAN,20
12-186,VERANO,12,TLALPAN,20
03-089,PEDREGAL DE SAN FRANCISCO (FRACC),3,COYOACAN,19
04-035,MEMETLA,4,CUAJIMALPA DE MORELOS,19
05-008,ARBOLEDAS DE CUAUTEPEC (AMPL),5,GUSTAVO A. MADERO,19
10-020,ATLAMAXAC,10,ALVARO OBREGON,19
10-030,BELEN DE LAS FLORES SECCION RELLENO,10,ALVARO OBREGON,19
12-174,TEZONTITLA - EL CALVARIO (AMPL),12,TLALPAN,19
13-016,JOYA DE VARGAS,13,XOCHIMILCO,19
05-022,CASTILLO GRANDE (AMPL),5,GUSTAVO A. MADERO,18
10-062,EL MIRADOR,10,ALVARO OBREGON,18
13-045,SAN JOSE OBRERO,13,XOCHIMILCO,18
13-080,INFONAVIT PROLONGACION DIVISION DEL NORTE (U HAB),13,XOCHIMILCO,18
05-185,TORRES DE QUIROGA (U HAB),5,GUSTAVO A. MADERO,17
05-211,6 DE JUNIO,5,GUSTAVO A. MADERO,17
10-175,PONCIANO ARRIAGA,10,ALVARO OBREGON,17
12-102,MOVIMIENTO ORGANIZADO DE TLALPAN-EL MIRADOR (RNCDA),12,TLALPAN,17
05-061,FOVISSSTE CUCHILLA (U HAB),5,GUSTAVO A. MADERO,16
08-019,IXTLAHUALTONGO,8,LA MAGDALENA CONTRERAS,16
12-082,AMPLIACION LOMAS DE PADIERNA,12,TLALPAN,16
12-152,SN JUAN TEPEXIMILPA (AMPL),12,TLALPAN,16
07-160,PLUTARCO ELIAS CALLES (U HAB),7,IZTAPALAPA,15
10-210,TEPEACA,10,ALVARO OBREGON,14
07-109,LA JOYA,7,IZTAPALAPA,13
12-124,PIEDRA LARGA,12,TLALPAN,13
03-047,EL VERGEL DE COYOACAN ( INFONAVIT EL HUESO) (U HAB),3,COYOACAN,12
10-102,LA HUERTA,10,ALVARO OBREGON,12
13-024,LA SANTISIMA (BARR),13,XOCHIMILCO,12
16-049,MARINA NACIONAL (U HAB),16,MIGUEL HIDALGO,12
03-155,CENTRO URBANO (U HAB),3,COYOACAN,11
05-210,51 LEGISLATURA,5,GUSTAVO A. MADERO,11
12-204,ZAPOTE-LUIS DONALDO COLOSIO (U HABS),12,TLALPAN,11
13-077,AZTLAN (U HAB),13,XOCHIMILCO,11
03-124,VISTAS DEL MAUREL (U HAB),3,COYOACAN,10
10-054,EL ARBOL,10,ALVARO OBREGON,10
12-010,ATOCPA SUR,12,TLALPAN,10
12-208,SAN MIGUEL TOXIAC,12,TLALPAN,10
02-068,ROSENDO SALAZAR (CONJ HAB),2,AZCAPOTZALCO,9
03-159,ROMERO DE TERREROS (COND),3,COYOACAN,9
05-099,LA FORESTAL 1,5,GUSTAVO A. MADERO,9
07-072,ESTADO DE VERACRUZ,7,IZTAPALAPA,9
10-141,LOMAS DE SANTO DOMINGO,10,ALVARO OBREGON,9
12-001,AHUACATITLA,12,TLALPAN,9
02-029,FERRERIA (U HAB),2,AZCAPOTZALCO,8
