folio,fecha_creacion,colonia_fuente,alcaldia_fuente,id_colonia,colonia,id_alcaldia,alcaldia
C5/20210712/03760,2021-07-12,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
C5/20210712/03760,2021-07-12,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-083,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),2,AZCAPOTZALCO
C5/20210716/03705,2021-07-16,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20210716/03705,2021-07-16,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20210807/00452,2021-08-07,SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20210807/00452,2021-08-07,SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20210813/01347,2021-08-13,SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20210813/01347,2021-08-13,SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20210813/01504,2021-08-13,SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20210813/01504,2021-08-13,SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20210813/01574,2021-08-13,SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20210813/01574,2021-08-13,SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20210902/00953,2021-09-02,SAN MIGUEL CHAPULTEPEC II,CUAUHTEMOC,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20210902/00953,2021-09-02,SAN MIGUEL CHAPULTEPEC II,CUAUHTEMOC,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20210910/05498,2021-09-10,SAN MIGUEL CHAPULTEPEC II,CUAUHTEMOC,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20210910/05498,2021-09-10,SAN MIGUEL CHAPULTEPEC II,CUAUHTEMOC,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20210914/03492,2021-09-14,PRIVADA GAVILAN (U HAB),IZTAPALAPA,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
