folio,fecha_creacion,colonia_fuente,alcaldia_fuente,id_colonia,colonia,id_alcaldia,alcaldia
C5/20230324/01279,2023-03-24,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C5/20230324/01279,2023-03-24,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20230406/04383,2023-04-06,San Miguel Chapultepec I Seccion,Cuauhtémoc,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20230406/04383,2023-04-06,San Miguel Chapultepec I Seccion,Cuauhtémoc,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20230407/03636,2023-04-07,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20230407/03636,2023-04-07,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20230414/04099,2023-04-14,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20230414/04099,2023-04-14,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20230512/04851,2023-05-12,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20230512/04851,2023-05-12,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20230529/02695,2023-05-29,Jardin Balbuena,Venustiano Carranza,17-034,KENNEDY (U HAB),17,VENUSTIANO CARRANZA
C5/20230529/02695,2023-05-29,Jardin Balbuena,Venustiano Carranza,17-077,JARDIN BALBUENA II,17,VENUSTIANO CARRANZA
C5/20230610/00343,2023-06-10,Centro,Cuauhtémoc,15-040,CENTRO IV,15,CUAUHTEMOC
C5/20230610/00343,2023-06-10,Centro,Cuauhtémoc,15-044,CENTRO VIII,15,CUAUHTEMOC
C5/20230622/03256,2023-06-22,D M Nacional,Gustavo A. Madero,05-163,SAN JUAN III (U HAB),5,GUSTAVO A. MADERO
C5/20230622/03256,2023-06-22,D M Nacional,Gustavo A. Madero,05-187,TORRES DE SAN JUAN 1B (U HAB),5,GUSTAVO A. MADERO
C5/20230630/02480,2023-06-30,Centro,Cuauhtémoc,15-040,CENTRO IV,15,CUAUHTEMOC
C5/20230630/02480,2023-06-30,Centro,Cuauhtémoc,15-044,CENTRO VIII,15,CUAUHTEMOC
