metodo,estimate,std.error,statistic,p.value,conf.low,conf.high,media_pre_tratados,efecto_porcentual_aprox
Cluster convencional,0.014484126984129706,2.8802938963375784,0.005028697593168155,0.9960154603445527,-5.8270226452387215,5.85599089920698,35.82523148148148,0.0404299606315642
Wild cluster bootstrap — Rademacher,0.014484126984129706,NA,0.005098077905493526,0.9957995799579958,NA,NA,35.82523148148148,0.0404299606315642
Wild cluster bootstrap — Webb,0.014484126984129706,NA,0.005098077905493526,0.9955995599559956,NA,NA,35.82523148148148,0.0404299606315642
