ruta,archivo,tamano_mb
D:/maestría/tesis-maestria/data/raw/09_infovial/201601_velocidad_limpio.csv,201601_velocidad_limpio.csv,21.02
D:/maestría/tesis-maestria/data/raw/09_infovial/201701_clasificacion_limpio.csv,201701_clasificacion_limpio.csv,129.96
