excluido,n_tratamientos,n_controles,peso_total_tratados,peso_total_controles,estimate,std.error,statistic,p.value,conf.low,conf.high,media_pre_tratados,efecto_porcentual_aprox,diferencia_vs_principal,cambio_absoluto
004-SSC-XOC-FC-124.30,7,24,7,7,1.5302721088435303,2.309086066569297,0.6627176574310709,0.5125712999140449,-3.1855107641399116,6.246054981826973,35.80026455026455,4.274471510385032,1.5157879818594007,1.5157879818594007
005-SSC-IZT-FC-124.38,7,26,7,7,-1.2161375661375462,2.9744157471708346,-0.40886603269710897,0.6853615358288883,-7.274824178862611,4.842549046587518,36.51851851851852,-3.330194146624112,-1.2306216931216758,1.2306216931216758
012-SSC-VCA-FC-124.94,7,28,7,7,-1.169727891156435,3.041339414858509,-0.3846094537958217,0.7029220736077211,-7.350473217974203,5.0110174356613335,36.92989417989418,-3.1674282234831654,-1.1842120181405646,1.1842120181405646
026-SSC-IZP-FC-124.206,7,28,7,7,0.7055555555555391,3.2578037558630193,0.21657398923608015,0.8298346072853978,-5.915098239731724,7.3262093508428014,34.58994708994709,2.0397705544932605,0.6910714285714094,0.6910714285714094
013-SSC-VCA-EV-124.102,7,28,7,7,-0.6136054421768553,3.0343264743153866,-0.20222129931331753,0.8409488984889838,-6.780098759081691,5.552887874727981,34.66269841269841,-1.770218333469577,-0.628089569160985,0.628089569160985
002-SSC-AZC-EV-124.14,7,26,7,7,0.6236961451247094,3.1997054018543363,0.19492299033631552,0.8466855661912733,-5.893890477161792,7.1412827674112105,37.41269841269841,1.6670707315594693,0.6092120181405797,0.6092120181405797
019-SSC-IZP-EV-124.150,7,24,7,7,0.467838246409665,3.2143782773040437,0.14554548533162975,0.8852537315949599,-6.096797973461406,7.0324744662807355,33.48412698412698,1.3971940992561696,0.4533541194255353,0.4533541194255353
007-SSC-COY-EV-124.54,7,27,7,7,-0.212018140589563,3.2920322107346798,-0.06440342226853459,0.9490375645483671,-6.9097080330252325,6.485671751846107,37.2037037037037,-0.5698844993447687,-0.2265022675736927,0.2265022675736927
