anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_anterior,anio_actual,distancia_anterior_m,id_anterior,ids_anterior,tipos_anterior
2022,2022_479708_2140605,479708.1162554607,2140605.4127016896,1,JVEF013,radar fijo,Aun/Gobernador José Ceballos Y,Av. Constituyentes,2021,2022,0,2021_479708_2140605,JVEF013,radar fijo
2022,2022_480032_2138962,480032.4562703695,2138961.7284793,1,RVEM011,radar móvil,Av. Revolución Y ,Calle Rafael Checa,2021,2022,0,2021_480032_2138962,RVEM011,radar móvil
2022,2022_480140_2141035,480140.17624916753,2141035.1306192167,1,JFCF028,radar fijo,Av. Marina Nacional Y,Felipe Carrillo Puerto,2021,2022,0,2021_480140_2141035,JFCF028,radar fijo
2022,2022_480522_2150855,480521.5908068836,2150854.5661406014,1,RVEF002,radar fijo,Fray Servando Teresa De Mier Y ,Cucurpe,2021,2022,0,2021_480522_2150855,RVEF002,radar fijo
2022,2022_480661_2145978,480660.9939688194,2145978.3235605294,2,BCFC002 | BFCF001,radar fijo,José María Izazaga Y,José María Pino Suárez,2021,2022,0,2021_480661_2145978,BFCF001 | BFCF002,radar fijo
2022,2022_480852_2150425,480852.4829398144,2150425.3956408612,2,JFCF027 | JFCF035,radar fijo,Av. Ejército Nacional Mexicano Y,Anillo Periférico Boulevard Manuel Ávila Camacho,2021,2022,0,2021_480852_2150425,JFCF027 | JFCF035,radar fijo
2022,2022_481022_2139189,481021.8847857099,2139189.386674418,1,JFCF024,radar fijo,Eje 3 Oriente Ing. Edurado Molina Y,Eje 5 Norte San Juan De Aragón,2021,2022,0,2021_481022_2139189,JFCF024,radar fijo
2022,2022_481081_2139219,481080.8376463651,2139218.869400922,3,BFCF007 | BFCF008 | BFCF021,radar fijo,Insurgentes Buenavista ,Y Eje 1 Norte,2021,2022,0,2021_481081_2139219,BFBF008 | BFCF007 | BFCF021,radar fijo
2022,2022_481509_2145758,481508.7829218684,2145757.569784808,1,,radar móvil,Eje 3 Sur Av. Baja California Y,Choapan Direccion Poniente,2021,2022,0,2021_481509_2145758,,radar móvil
2022,2022_481586_2147707,481586.4658871726,2147706.6487749,1,VVEF032,radar fijo,Viaducto Río De La Piedad Y,Primero De Mayo,2021,2022,0,2021_481586_2147707,VVEF032,radar fijo
2022,2022_481657_2148412,481657.30843529844,2148411.6606288855,1,JFCF018,radar fijo,Calz. Gral. Ignacio Zaragoza Y,Circuito Bicentenario Boulevard Puerto Aéreo,2021,2022,0,2021_481657_2148412,JFCF018,radar fijo
2022,2022_481740_2147456,481740.3255781062,2147456.3054555757,1,BFCF026,radar fijo,Chapultepec-Sonora Y,Lieja,2021,2022,0,2021_481740_2147456,BFCF026,radar fijo
