tiempo_evento,estimate,std.error,conf.low,conf.high
-12,2.399093571685348,1.4614727471037658,-0.4672539380428704,5.265441081413567
-11,6.549866181896787,1.9775408220053508,2.6713681245269387,10.428364239266635
-10,0.6304221582627574,1.5206861408874617,-2.3520590009986484,3.612903317524163
-9,4.61894662425359,1.472004457254084,1.7319435523724906,7.5059496961346905
-8,-2.1593571681025154,1.245635863421279,-4.602389555960132,0.28367521975510046
-7,-2.135838004339448,1.237632249640515,-4.5631731180092405,0.29149710933034445
-6,0.3207594808905778,1.2042902344799278,-2.0411828279429542,2.68270178972411
-5,-2.3026309145046056,1.1729628128990288,-4.603131587144397,-0.002130241864813698
-4,0.05343887290182758,1.3884668975619432,-2.669724211769891,2.776601957573546
-3,-1.8481669443989674,1.3824202683834002,-4.559470936574768,0.8631370477768332
-2,-0.5247815987440005,1.3916341432973367,-3.2541565179807725,2.2045933204927715
-1,0,NA,0,0
0,1.993107104988288,1.6114184125777198,-1.1673248381838972,5.153539048160473
1,3.401845679951984,1.3129525267612552,0.8267869161594539,5.976904443744514
2,1.9831338686099573,1.551473342963864,-1.059729408742994,5.025997145962909
3,5.043061657329485,1.8361366299479944,1.441895869461037,8.644227445197933
4,-4.040574660402093,1.2856706683544123,-6.5621262431266345,-1.5190230776775517
5,-1.6446876735813687,1.2932499507468558,-4.181104300662132,0.8917289534993946
