term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,outcome,etiqueta,rol,buffer_m
fixest::tiempo_evento::-10:tratada,0.0037174721183072107,0.08007005900292107,0.04642774296159308,0.9629744379121599,-0.15332179849528227,0.16075674273189672,-10,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-9:tratada,0.05752168525334179,0.0825872269775942,0.6964961454505227,0.48620745440236124,-0.10445443975597302,0.21949781026265658,-9,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-8:tratada,-0.04265179677881225,0.07075341925386767,-0.6028231176471479,0.5467017610917685,-0.18141859040187594,0.09611499684425143,-8,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-7:tratada,0.11420693928056697,0.08536951586232969,1.3377953257312794,0.181130945886268,-0.05322601469248345,0.2816398932536174,-7,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-6:tratada,0.11053283766966679,0.08980883014104113,1.2307569032586154,0.21857344555118574,-0.06560682496620482,0.28667250030553837,-6,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-5:tratada,0.025402726145557858,0.07431579070407601,0.34182138015204605,0.7325249344769471,-0.12035085156586253,0.17115630385697825,-5,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-4:tratada,0.04734820322113018,0.07539594113536334,0.6279940605306963,0.5300869238722116,-0.10052384471492348,0.19522025115718383,-4,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-3:tratada,0.07664188351851149,0.07128174249299114,1.0751965487662902,0.282429805281347,-0.06316109637883895,0.21644486341586194,-3,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-2:tratada,0.02283767038347679,0.071607107151354,0.3189302192477267,0.749816167392944,-0.11760343853824318,0.16327877930519674,-2,n_victimas,Víctimas de tránsito (FGJ),principal,250
NA,0,NA,NA,NA,0,0,-1,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::0:tratada,0.028543990086074937,0.07221715938848591,0.3952521855993398,0.6927032815691403,-0.11309359801335972,0.1701815781855096,0,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::1:tratada,0.04185873605880504,0.07151092167137438,0.585347455751797,0.5583869586286063,-0.09839372684706689,0.18211119896467698,1,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::2:tratada,0.05066294919386836,0.06948972620248166,0.7290710722653423,0.46605235840842274,-0.08562539696031207,0.18695129534804877,2,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::3:tratada,0.12831474597200923,0.0788852987737298,1.6265989730236063,0.10399607708889175,-0.02640088601109794,0.28303037795511643,3,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::4:tratada,0.02681536555076096,0.07588436718900156,0.3533714063131503,0.7238511028450314,-0.12201461937406426,0.17564535047558616,4,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::5:tratada,-0.019826517968418493,0.06929696740535167,-0.2861094606412362,0.7748269729623135,-0.1557368114362066,0.1160837754993696,5,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::6:tratada,0.0674349442372275,0.07694180667579315,0.8764408733131994,0.3809065159848446,-0.08346896854267398,0.21833885701712896,6,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::7:tratada,0.13172862453458556,0.08463433447984774,1.5564442651339265,0.11977701976062846,-0.03426243780617014,0.2977196868753412,7,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::8:tratada,-0.02491325898452336,0.07720188443456141,-0.32270273150703427,0.7469575935195321,-0.17632725533434324,0.1265007373652965,8,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::9:tratada,0.0455762081777611,0.07678383105990942,0.5935651757490578,0.5528770217174388,-0.10501787124118075,0.19617028759670294,9,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::10:tratada,-0.0016294919461229684,0.07264794960183443,-0.022429978479142406,0.9821074352519767,-0.14411197739837783,0.1408529935061319,10,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-10:tratada,-0.027385771934939192,0.062075317271861385,-0.4411700678870812,0.6591424853725543,-0.14913243565507753,0.09436089178519916,-10,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-9:tratada,0.05211726384383386,0.0683702050600934,0.7622803500154174,0.44599185579253475,-0.0819753953603628,0.18620992304803052,-9,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-8:tratada,-0.04795428067483531,0.05842586295569494,-0.8207714571747042,0.41188436349534685,-0.16254336700480979,0.06663480565513916,-8,n_victimas,Víctimas de tránsito (FGJ),principal,500
