grupo,periodo,media_250m,media_500m,media_1000m
Controles,Post,14.778571428571428,38.55535714285714,134.18214285714288
Controles,Pre,14.081712962962964,35.743287037037035,120.93055555555556
Tratamientos,Post,15.848214285714286,38.651785714285715,116.58035714285714
Tratamientos,Pre,14.674768518518519,35.82523148148148,100.62037037037037
