muestra,n,media_incidentes_pre,sd_incidentes_pre,tendencia_media_pre
Controles no seleccionados,79,41.8230192217534,15.233427632939275,0.03358632423716529
Controles seleccionados,29,36.533844189016605,13.362061646394645,0.04368466542686813
Tratamientos,8,35.82523148148148,13.603929957175037,0.07335936532433998
