ventana,tiempo_evento,estimate,std.error,p.value,conf.low,conf.high
-10 a +5,0,1.9931071049851208,1.6114122402725302,0.21629561999281274,-1.167312732609561,5.153526942579802
-10 a +5,1,3.40184567994855,1.3129474976863482,0.009646536700906247,0.8267967795464695,5.976894580350631
-10 a +5,2,1.9831338686068056,1.5514674002696456,0.20133157468580878,-1.0597177534985143,5.0259854907121255
-10 a +5,3,5.0430616573258185,1.8361295968923643,0.006081713295055435,1.4419096632017503,8.644213651449887
-10 a +5,4,-4.040574660404156,1.2856657437786683,0.0017005414084969464,-6.562116584689669,-1.519032736118643
-10 a +5,5,-1.6446876735839346,1.2932449971399176,0.2036241486375086,-4.181094585287562,0.8917192381196934
-12 a +5,0,1.993107104988288,1.6114184125777198,0.2162973787229963,-1.1673248381838972,5.153539048160473
-12 a +5,1,3.401845679951984,1.3129525267612552,0.0096468138492854,0.8267869161594539,5.976904443744514
-12 a +5,2,1.9831338686099573,1.551473342963864,0.2013333001365947,-1.059729408742994,5.025997145962909
-12 a +5,3,5.043061657329485,1.8361366299479944,0.006081907530753951,1.441895869461037,8.644227445197933
-12 a +5,4,-4.040574660402093,1.2856706683544123,0.001700610958253854,-6.5621262431266345,-1.5190230776775517
-12 a +5,5,-1.6446876735813687,1.2932499507468558,0.2036258795783761,-4.181104300662132,0.8917289534993946
-6 a +5,0,1.993107104983901,1.6113937234988394,0.2162903438217599,-1.167276416156531,5.153490626124333
-6 a +5,1,3.4018456799473062,1.3129324105767086,0.009645705291804394,0.8268263694908677,5.976864990403745
-6 a +5,2,1.9831338686055646,1.5514495723232526,0.20132639835660804,-1.0596827880241089,5.025950525235238
-6 a +5,3,5.043061657324544,1.8361084978871325,0.006081130616951695,1.441951044116558,8.644172270532529
-6 a +5,4,-4.040574660405368,1.2856509701642083,0.0017003327733547246,-6.56208760959497,-1.5190617112157656
-6 a +5,5,-1.644687673585108,1.2932301364322065,0.20361895584097736,-4.1810654393791555,0.8916900922089401
-8 a +5,0,1.9931071049840141,1.6114043044869752,0.2162933587730374,-1.1672971683661695,5.153511378334198
-8 a +5,1,3.401845679947547,1.3129410317616983,0.009646180376109734,0.8268094609909844,5.976881898904109
-8 a +5,2,1.983133868605694,1.5514597596967725,0.20132935625472084,-1.059702768247885,5.025970505459274
-8 a +5,3,5.043061657324829,1.8361205544325292,0.006081463570548179,1.4419273979360008,8.644195916713658
-8 a +5,4,-4.040574660405552,1.285659412209576,0.0017004519908507168,-6.562104166753517,-1.5190451540575869
-8 a +5,5,-1.6446876735851825,1.293238628244939,0.2036219231488016,-4.181082094144998,0.8917067469746334
