tratado,periodo,colonias,observaciones,media_incidentes,mediana_incidentes,sd_incidentes
0,Post,1722,10332,9.767905536198219,4,13.673047396132064
0,Pre,1722,201474,8.251010055888104,3,12.494335162350762
1,Post,92,552,35.03442028985507,25,29.347543422346003
1,Pre,92,10764,29.284559643255296,22,25.40577575619215
