id_radar,accidentes_250m_2022,accidentes_250m_2023,accidentes_500m_2022,accidentes_500m_2023,accidentes_1000m_2022,accidentes_1000m_2023,cambio_250m,cambio_500m,cambio_1000m
026-SSC-IZP-FC-124.206,399,327,686,549,1278,1163,-18.045112781954884,-19.970845481049558,-8.99843505477308
019-SSC-IZP-EV-124.150,109,119,719,596,1916,1783,9.174311926605494,-17.10709318497914,-6.9415448851774535
013-SSC-VCA-EV-124.102,173,141,713,656,2029,1963,-18.497109826589597,-7.9943899018232845,-3.2528339083292224
002-SSC-AZC-EV-124.14,78,125,307,289,1179,1122,60.25641025641026,-5.863192182410426,-4.834605597964381
007-SSC-COY-EV-124.54,215,224,384,374,1239,1170,4.1860465116279055,-2.604166666666663,-5.56900726392252
004-SSC-XOC-FC-124.30,218,193,285,284,746,736,-11.467889908256879,-0.35087719298245723,-1.3404825737265424
012-SSC-VCA-FC-124.94,90,137,438,474,1675,1572,52.222222222222214,8.219178082191792,-6.1492537313432845
005-SSC-IZT-FC-124.38,268,318,467,534,1722,1712,18.656716417910445,14.346895074946463,-0.5807200929152101
