carpeta,archivo,extension,tamano_mb,modification_time,ruta_relativa
07_fotocivicas/cumplimiento,cursos_en_linea_fotocivicas_07_22.csv,csv,13.96,2026-08-07T04:23:13Z,07_fotocivicas/cumplimiento/cursos_en_linea_fotocivicas_07_22.csv
07_fotocivicas/cumplimiento,cursos_presenciales_fotocivicas__07_22.csv,csv,38.717,2026-08-07T04:23:14Z,07_fotocivicas/cumplimiento/cursos_presenciales_fotocivicas__07_22.csv
07_fotocivicas/cumplimiento,infractores_fotocivicas_taller_presencial.csv,csv,0,2026-08-07T04:23:12Z,07_fotocivicas/cumplimiento/infractores_fotocivicas_taller_presencial.csv
07_fotocivicas/ubicacion,fotocivicas-ubicacion-lineas.zip,zip,0.007,2026-08-07T04:27:33Z,07_fotocivicas/ubicacion/fotocivicas-ubicacion-lineas.zip
07_fotocivicas/ubicacion,fotocivicas-ubicacion-puntos.zip,zip,0.009,2026-08-07T04:27:35Z,07_fotocivicas/ubicacion/fotocivicas-ubicacion-puntos.zip
07_fotocivicas/ubicacion,fotocivicas-ubicacion.csv,csv,0.014,2026-08-07T04:27:24Z,07_fotocivicas/ubicacion/fotocivicas-ubicacion.csv
08_radares,radares_fotocivicas.gpkg,gpkg,0.227,2026-08-07T03:20:05Z,08_radares/radares_fotocivicas.gpkg
09_infovial,201601_velocidad_limpio.csv,csv,21.02,2026-08-07T04:31:26Z,09_infovial/201601_velocidad_limpio.csv
09_infovial,201701_clasificacion_limpio.csv,csv,129.96,2026-08-07T04:31:45Z,09_infovial/201701_clasificacion_limpio.csv
10_accidentes_peatones_ciclistas,puntos-de-accidentes-de-ciclistas.zip,zip,0.118,2026-08-07T04:28:24Z,10_accidentes_peatones_ciclistas/puntos-de-accidentes-de-ciclistas.zip
10_accidentes_peatones_ciclistas,puntos-de-accidentes-de-peatones.zip,zip,0.634,2026-08-07T04:31:00Z,10_accidentes_peatones_ciclistas/puntos-de-accidentes-de-peatones.zip
11_depositos_vehiculares,depositos_vehiculares_preliminar.csv,csv,1.661,2026-08-07T04:26:25Z,11_depositos_vehiculares/depositos_vehiculares_preliminar.csv
12_accidentes_alcaldias,accidentes_terrestres_alcaldias_cdmx_84.csv,csv,0,2026-08-07T04:30:25Z,12_accidentes_alcaldias/accidentes_terrestres_alcaldias_cdmx_84.csv
13_vehiculos_registrados,vehiculos_circulacion_tipo_vehiculo_1990_2019_64.csv,csv,0.006,2026-08-07T04:30:07Z,13_vehiculos_registrados/vehiculos_circulacion_tipo_vehiculo_1990_2019_64.csv
