definicion,n_tratamientos,n_controles,estimate,std.error,statistic,p.value,conf.low,conf.high,media_pre_tratados,efecto_porcentual_aprox
>250 m,10,36,0.8724867724867067,2.5903458769127035,0.3368224993669871,0.737816568314811,-4.344737636576697,6.089711181550111,39.43888888888889,2.2122498809354445
>500 m,8,29,0.014484126984129706,2.8802938963375784,0.005028697593168155,0.9960154603445527,-5.8270226452387215,5.85599089920698,35.82523148148148,0.0404299606315642
>1000 m,5,22,-0.4006349206349296,2.489745957774351,-0.1609139757347242,0.8734049558202304,-5.518381031582202,4.717111190312344,35.70925925925926,-1.1219356798364464
