periodo,bloque,etiqueta,estimate,std.error,statistic,p.value,conf.low,conf.high
Post,post_0_2,0 a 2,-0.37500000000022593,5.297004258990941,-0.07079473258185788,0.9439529505801323,-11.11782256082765,10.367822560827198
Post,post_12_mas,12+,-0.28750000000022796,5.384029253142816,-0.05339866974764407,0.9577094947197065,-11.206817429402431,10.631817429401973
Post,post_3_5,3 a 5,-0.8666666666669091,4.15624928114757,-0.2085213393234239,0.8359972573620286,-9.295930900341606,7.5625975670077885
Post,post_6_8,6 a 8,-5.266666666667005,4.8241091185417915,-1.091738710143229,0.28220079904245676,-15.050413430056702,4.517080096722692
Post,post_9_11,9 a 11,4.466666666666553,4.3625783530874624,1.0238593568194427,0.3127328061781971,-4.381052320037304,13.31438565337041
Pre,pre_12_7,-12 a -7,1.2499999999997813,5.294347241349445,0.23610087193320856,0.8146925486321694,-9.487433879288425,11.987433879287988
Pre,pre_18_13,-18 a -13,-2.883333333333566,5.911751363146982,-0.4877291273289767,0.6286989642304966,-14.87292080821996,9.10625414155283
Pre,pre_19_mas,≤ -19,-0.2625000000002216,5.334393405397172,-0.04920896905253226,0.9610247714410519,-11.081151264355903,10.55615126435546
Pre,pre_6_2,-6 a -2,1.4449999999997265,5.953267831616672,0.24272383518940752,0.809596963894983,-10.62878677553194,13.518786775531394
