radio,term,estimate,std.error,statistic,p.value,conf.low,conf.high,media_pre_tratados,efecto_porcentual_aprox
250 m,did,0.4765873015872923,1.9958581061812757,0.2387881684130133,0.8126239939817825,-3.5712005503671564,4.524375153541741,14.674768518518519,3.2476648676663813
500 m,did,0.014484126984129706,2.8802938963375784,0.005028697593168155,0.9960154603445527,-5.8270226452387215,5.85599089920698,35.82523148148148,0.0404299606315642
1000 m,did,2.7083994708994203,5.582449604252953,0.48516326396140574,0.6304999899209982,-8.613333082261684,14.030132024060526,100.62037037037037,2.691700955711212
