term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,periodo
tiempo_evento::-24:tratado,-7.275000000000162,5.273339402012566,-1.379581218918635,0.17622528341413674,-17.969828006355684,3.4198280063553614,-24,Pre
tiempo_evento::-23:tratado,3.6749999999999665,7.48365305479158,0.4910703333109442,0.6263571601983129,-11.502551865841859,18.852551865841793,-23,Pre
tiempo_evento::-22:tratado,13.375000000000092,11.585845999509079,1.1544258399919025,0.2559316664118384,-10.122184767887624,36.87218476788781,-22,Pre
tiempo_evento::-21:tratado,-0.5500000000000769,4.625410327181052,-0.11890836944087367,0.9060090102290308,-9.930766936628991,8.830766936628837,-21,Pre
tiempo_evento::-20:tratado,-2.8750000000001084,4.5545650006009,-0.6312348159749174,0.531874738857981,-12.112085954794317,6.3620859547941,-20,Pre
tiempo_evento::-19:tratado,-7.925000000000163,6.795901010246785,-1.1661441195289535,0.25122391292674995,-21.70772607013865,5.857726070138326,-19,Pre
tiempo_evento::-18:tratado,-0.5500000000000753,8.370685124752224,-0.06570549385183755,0.9479758330161194,-17.52653628560636,16.426536285606208,-18,Pre
tiempo_evento::-17:tratado,-1.9500000000000952,8.24676860086144,-0.2364562526704584,0.814418915612615,-18.675221926881125,14.775221926880935,-17,Pre
tiempo_evento::-16:tratado,-1.1250000000000857,7.32892727215087,-0.15350131857290547,0.8788601871483939,-15.988753434271283,13.738753434271112,-16,Pre
tiempo_evento::-15:tratado,-8.000000000000169,6.197570303759097,-1.2908284388718947,0.20499160517242637,-20.569255153708582,4.569255153708244,-15,Pre
tiempo_evento::-14:tratado,3.0249999999999653,9.858527856270943,0.3068409446219481,0.7607323115821617,-16.969021203801795,23.019021203801728,-14,Pre
tiempo_evento::-13:tratado,-8.700000000000188,5.742872151922013,-1.5149214138588283,0.13852404510862024,-20.347084559710915,2.9470845597105377,-13,Pre
tiempo_evento::-12:tratado,3.074999999999971,4.716781945528825,0.6519275293009575,0.5185887961729284,-6.491077167659938,12.64107716765988,-12,Pre
tiempo_evento::-11:tratado,-4.925000000000136,5.97732042100416,-0.8239477981962962,0.415394825599012,-17.047567687776613,7.197567687776344,-11,Pre
tiempo_evento::-10:tratado,-6.750155989720952e-14,7.035367667835618,-9.59460302349428e-15,0.9999999999999925,-14.268386961829307,14.268386961829172,-10,Pre
tiempo_evento::-9:tratado,1.3249999999999513,9.65353359319919,0.13725543990786954,0.8915936770679218,-18.253273568630583,20.903273568630482,-9,Pre
tiempo_evento::-8:tratado,4.199999999999977,6.7629937680368375,0.6210267440804036,0.538494541171461,-9.515987089623707,17.91598708962366,-8,Pre
tiempo_evento::-7:tratado,3.824999999999978,7.280599253609817,0.5253688421462688,0.6025479178609279,-10.940739669788838,18.590739669788796,-7,Pre
tiempo_evento::-6:tratado,8.575000000000022,5.946822283023791,1.4419465711088775,0.1579611180925768,-3.4857145970973953,20.63571459709744,-6,Pre
tiempo_evento::-5:tratado,-3.7000000000001205,7.064238044460715,-0.5237649094938701,0.6036518232184852,-18.026938799468766,10.626938799468526,-5,Pre
tiempo_evento::-4:tratado,1.3249999999999444,8.912204728545776,0.14867252720934157,0.8826417348328361,-16.749788945473348,19.39978894547324,-4,Pre
tiempo_evento::-3:tratado,-0.6250000000000694,6.490818712663747,-0.09628985612873135,0.9238244161608968,-13.788990492605066,12.538990492604928,-3,Pre
tiempo_evento::-2:tratado,1.6499999999999526,8.1160156496887,0.20330172725372214,0.8400439957672274,-14.810042650997154,18.11004265099706,-2,Pre
tiempo_evento::0:tratado,-5.3250000000001405,6.323777711860835,-0.8420599588775245,0.40531382101236046,-18.15021564095898,7.500215640958699,0,Post
tiempo_evento::1:tratado,4.224999999999983,6.605726701303404,0.6395965487288977,0.5264844458766624,-9.172034695029833,17.622034695029797,1,Post
tiempo_evento::2:tratado,-0.025000000000068523,5.831886682055433,-0.004286777395211208,0.9966033243338757,-11.852614394274477,11.802614394274341,2,Post
tiempo_evento::3:tratado,4.749999999999989,5.272009982482899,0.9009846369378336,0.3735847741738231,-5.942131818582629,15.442131818582608,3,Post
tiempo_evento::4:tratado,-3.175000000000111,6.476500117287638,-0.4902339137654185,0.62694302782158,-16.309951035220354,9.959951035220133,4,Post
tiempo_evento::5:tratado,-4.17500000000012,4.817022974353892,-0.8667178924053425,0.391836856989041,-13.944375396872257,5.594375396872017,5,Post
tiempo_evento::6:tratado,-3.500000000000112,4.890989106458705,-0.715601675615726,0.4788533267933004,-13.419385665669747,6.419385665669523,6,Post
tiempo_evento::7:tratado,-3.7250000000001227,5.652459374113754,-0.6590051787119945,0.5140858691574929,-15.188718947425938,7.738718947425694,7,Post
tiempo_evento::8:tratado,-8.57500000000018,5.94155315401393,-1.4432253280789342,0.15760286246986993,-20.625028308162307,3.4750283081619475,8,Post
tiempo_evento::9:tratado,3.199999999999975,5.158458709892963,0.6203403341899337,0.5389412098663261,-7.261839163839298,13.661839163839247,9,Post
tiempo_evento::10:tratado,7.1500000000000234,5.179431496938581,1.3804603853195454,0.17595685924628832,-3.354373947430309,17.654373947430358,10,Post
tiempo_evento::11:tratado,3.0499999999999687,7.317055106394021,0.41683436241100896,0.6792746977380792,-11.789675566121117,17.889675566121056,11,Post
tiempo_evento::12:tratado,0.27499999999994096,6.091546624246098,0.04514452846923347,0.9642416027384082,-12.079229165326284,12.629229165326167,12,Post
tiempo_evento::13:tratado,-0.8500000000000784,6.329621520262585,-0.1342892299767105,0.893921838981734,-13.687067433721387,11.987067433721231,13,Post
