motocicleta,vehiculos,infracciones_totales,infracciones_media,vehiculos_con_infracciones,porcentaje_con_infracciones,sanciones_totales,porcentaje_con_sanciones
FALSE,2541,620,0.24399842581660763,263,10.35,141,1.53
TRUE,1139,634,0.5576077396657871,327,28.76,0,0
