definicion,muestra,n,media_incidentes_pre,sd_incidentes_pre,tendencia_media_pre
250m,Controles no seleccionados,72,40.13734567901235,14.890636802813729,0.03443370561964975
250m,Controles seleccionados,36,40.93364197530864,14.411520026251637,0.04002633631945699
250m,Tratamientos,10,39.43888888888889,14.466282385765108,0.07249230710604279
500m,Controles no seleccionados,79,41.8230192217534,15.233427632939275,0.03358632423716529
500m,Controles seleccionados,29,36.533844189016605,13.362061646394645,0.04368466542686813
500m,Tratamientos,8,35.82523148148148,13.603929957175037,0.07335936532433998
1000m,Controles no seleccionados,86,41.26754952627046,15.151995417636936,0.03421424141939623
1000m,Controles seleccionados,22,37.022306397306394,13.084952946857769,0.04444318863850716
1000m,Tratamientos,5,35.709259259259255,13.133352639226741,0.06259776882258229
