variable,valores_unicos,faltantes,porcentaje_faltantes
anio,6,0,0
tipo,2,0,0
num,108,65,10.17
num_disp,105,18,2.82
calle1,298,0,0
calle2,276,0,0
y,196,5,0.78
x,195,5,0.78
id,195,57,8.92
num_disp_2,12,597,93.43
