term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,escenario,evento,buffer_m,outcome
fixest::tiempo_evento::-5:tratada,473.3090070810415,272.7854080568094,1.735096501138623,0.08289364664698433,-61.69773637232515,1008.3157505344082,-5,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::-4:tratada,238.0846139283063,241.44496155005064,0.9860823452261284,0.32422428246337576,-235.45494789171025,711.6241757483228,-4,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::-3:tratada,375.3787076206155,249.6834405803986,1.5034185156533948,0.13290531846041684,-114.31876333549894,865.07617857673,-3,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::-2:tratada,333.21359861353426,210.3986723433227,1.5837248158572295,0.11343076215179082,-79.4357044381548,745.8629016652233,-2,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
NA,0,NA,NA,NA,0,0,-1,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::0:tratada,265.6680570686891,256.68815737274963,1.0349836930065275,0.30081455522299744,-237.76757806044583,769.1036921978241,0,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::1:tratada,-30.021917770256835,144.64480474661417,-0.20755614294511732,0.8355988617992265,-313.7099144860415,253.66607894552783,1,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::3:tratada,-762.5664063313737,267.51247812797845,-2.850582565971224,0.004413283912045915,-1287.231492986536,-237.9013196762113,3,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::4:tratada,-758.904294837265,267.93329010848817,-2.8324374866967035,0.004670514614064123,-1284.3947088033801,-233.4138808711498,4,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::5:tratada,-452.26888898771756,326.95602299281956,-1.3832713184110699,0.16675199841495678,-1093.5190143515474,188.98123637611218,5,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::6:tratada,-410.11101124435845,326.2021360067176,-1.2572296928059137,0.2088324050075228,-1049.8825581745416,229.6605356858247,6,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
